Age,Number of plants,Total BOF capacity,Region
2,1,3000.0,IND
2,17,20307.41083671006,CHA
3,35,51730.90023514031,CHA
3,1,0.0,JPN
4,22,30349.047179140947,CHA
4,1,2812.5,IND
5,12,25631.1340330937,CHA
6,8,19600.0,CHA
7,1,476.18164435946466,CHA
7,1,2613.3333333333335,IND
9,1,3000.0,IND
9,2,3250.0,CHA
10,4,1958.6805555555554,CHA
11,4,3320.0,CHA
12,5,5269.668246445498,CHA
12,1,3500.0,IND
13,6,6800.0,CHA
13,1,325.0,IND
14,13,22482.347826086956,CHA
15,14,14275.0,CHA
16,21,25403.339850209122,CHA
17,3,2860.482490833913,CHA
18,1,2280.7017543859647,EUR+RUS
18,16,16756.611983831936,CHA
19,15,25360.0,CHA
19,2,1500.0,IND
20,2,1200.0,IND
20,16,25187.180251207727,CHA
21,6,8401.346405523853,CHA
21,2,3000.0,IND
22,97,100385.08304407999,CHA
23,74,87191.02180351503,CHA
23,1,2295.5974842767296,EUR+RUS
24,23,25152.248120961547,CHA
25,1,2300.0,EUR+RUS
25,28,32743.0,CHA
26,21,28881.0,CHA
27,5,1910.0,IND
28,14,28550.0,CHA
28,1,1200.0,EUR+RUS
29,12,8782.068965517241,CHA
30,3,3000.0,CHA
31,5,12387.5,IND
31,8,6644.0,CHA
32,2,6884.216259603257,EUR+RUS
32,18,23741.319444444445,CHA
33,6,7429.981378026071,CHA
33,2,6912.009488781909,EUR+RUS
34,5,8232.187458690767,CHA
36,2,1520.0,CHA
37,5,6800.0,CHA
39,8,7000.0,CHA
40,1,1474.6549560853198,EUR+RUS
40,1,1400.0,CHA
41,2,2250.0,CHA
43,1,1100.0,IND
44,1,3271.1538461538466,EUR+RUS
45,1,1800.0,CHA
46,2,1500.0,CHA
47,1,3200.0,EUR+RUS
48,5,18105.62613430127,CHA
48,5,7952.505446623094,EUR+RUS
49,3,6300.0,EUR+RUS
51,3,6385.34504391468,EUR+RUS
52,2,7191.12685560054,EUR+RUS
53,8,8500.0,CHA
53,5,4650.0,IND
54,3,8094.373865698729,CHA
54,3,13581.0,JPN
54,3,7299.999999999999,IND
54,4,4721.739130434782,EUR+RUS
55,1,6000.0,JPN
55,10,9174.0,CHA
56,1,3581.0,JPN
56,10,18156.498673740054,CHA
57,1,1760.8695652173913,EUR+RUS
58,1,3292.393026941363,EUR+RUS
58,3,10000.0,JPN
59,5,7700.0,CHA
59,3,6233.766233766233,EUR+RUS
60,5,23000.0,JPN
60,5,5900.0,CHA
60,6,16100.0,EUR+RUS
61,2,3500.0,EUR+RUS
61,3,900.0,CHA
62,1,1467.391304347826,EUR+RUS
63,1,1938.5964912280701,EUR+RUS
64,2,6000.0,JPN
64,1,967.741935483871,EUR+RUS
65,3,6000.0,EUR+RUS
66,11,10227.666666666668,IND
67,43,58375.80327134986,CHA
68,2,1350.0,CHA
68,2,4166.233766233767,EUR+RUS
70,8,22104.200079313727,CHA
70,5,9800.0,EUR+RUS
71,2,3200.0,EUR+RUS
71,8,10650.0,CHA
72,7,16770.0,CHA
73,4,1770.353302611367,EUR+RUS
74,1,4500.0,JPN
74,3,6850.0,CHA
75,2,5400.0,EUR+RUS
79,2,3600.0,CHA
82,3,3999.0,EUR+RUS
83,1,4570.0,JPN
84,3,2825.0,EUR+RUS
85,4,9241.699346405228,EUR+RUS
86,4,3500.0,EUR+RUS
86,2,2816.0,JPN
90,3,2000.0,EUR+RUS
90,3,4650.0,CHA
91,6,15483.0,EUR+RUS
93,11,19100.0,EUR+RUS
96,5,6050.0,CHA
107,1,2500.0,IND
109,7,24100.0,CHA
113,7,11000.0,IND
116,1,1448.0,JPN
119,1,1361.904761904762,EUR+RUS
120,1,1250.0,CHA
124,1,3727.0,JPN
129,2,5472.0,EUR+RUS
130,1,2200.0,EUR+RUS
133,1,1140.0,EUR+RUS
138,1,3500.0,EUR+RUS
147,1,785.0,EUR+RUS
152,2,3240.0,EUR+RUS
173,2,1300.0,EUR+RUS
