index,Remaining BOF capacity,Remaining BOF capacity (2 relinings),Total BOF capacity additions,Total retired BOF capacity,Total BOF capacity additions (no retirement date),Total retired BOF capacity (no retirement date),Total retired BOF capacity (custom calculated retirement date),"Additional net BOF capacity (operating, 1 relining)","Additional net BOF capacity (operating, 2 relining)",5year BOF capacity additions,Total BOF capacity additions (new projects),"Total net BOF capacity additions (new projects, announced only)",Total retired BOF capacity (new projects),"Total retired BOF capacity (new projects, 1 relining)","Total retired BOF capacity (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining, announced only)",Region,Additional cumulative capacity to meet gov target
2000,982353.1062908204,989103.4981276577,866809.3291615064,9746.820408265867,125290.59753757951,0.0,9746.820408265867,845.454545454546,6750.391836837295,19209.574069757622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2001,1022715.354411782,1029465.7462486193,903053.7084682756,9746.820408265867,129408.46635177186,0.0,9746.820408265867,845.454545454546,6750.391836837295,51828.84977921744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2002,1147562.5292551294,1156757.365536411,1001515.9497861271,12191.264852710312,158237.84432171215,0.0,12191.264852710312,3289.898989898991,9194.836281281741,51828.84977921744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2003,1273126.6122992095,1281464.3057233484,1086265.0514008622,12191.264852710312,199052.8257510572,0.0,12191.264852710312,3289.898989898991,8337.693424138884,51828.84977921744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2004,1288927.9587047333,1297265.6521288722,1102066.397806386,12191.264852710312,199052.8257510572,0.0,12191.264852710312,3289.898989898991,8337.693424138884,51828.84977921744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2005,1315315.138955941,1323652.83238008,1125953.5780575937,12191.264852710312,201552.8257510572,0.0,12191.264852710312,3289.898989898991,8337.693424138884,51828.84977921744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2006,1361525.138955941,1369862.83238008,1167117.2323654091,12191.264852710312,206599.17144324176,0.0,12191.264852710312,3289.898989898991,8337.693424138884,24372.144640722767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2007,1390462.4526941588,1398800.1461182977,1192940.9905480715,12191.264852710312,209712.72699879733,0.0,12191.264852710312,3289.898989898991,8337.693424138884,24372.144640722767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2008,1408208.9351849926,1416546.6286091316,1209640.9614109984,12191.264852710312,210759.2386267043,0.0,12191.264852710312,2444.4444444444453,8337.693424138884,24372.144640722767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2009,1440112.2750352018,1448449.9684593407,1231139.3012612076,12191.264852710312,221164.2386267043,0.0,12191.264852710312,2444.4444444444453,8337.693424138884,24372.144640722767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2010,1459587.2750352018,1463593.063697436,1247814.3012612076,12191.264852710312,223964.2386267043,0.0,12191.264852710312,2444.4444444444453,4005.788662234122,24372.144640722767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2011,1484709.6228612887,1488715.4115235228,1271106.6490872945,12961.264852710312,226564.2386267043,0.0,12961.264852710312,2444.4444444444453,4005.788662234122,11306.28218276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2012,1500539.6228612887,1504545.4115235228,1285197.3633730088,12961.264852710312,228303.52434099,0.0,12961.264852710312,2444.4444444444453,4005.788662234122,11306.28218276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2013,1511679.2911077342,1516315.0797699683,1296967.0316194543,13591.264852710312,228303.52434099,0.0,13591.264852710312,3074.4444444444453,4635.788662234122,11306.28218276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2014,1516499.2911077342,1520419.1900976333,1301787.0316194543,13591.264852710312,228303.52434099,0.0,13591.264852710312,3074.4444444444453,3919.898989898991,11306.28218276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2015,1517682.9716632897,1521602.8706531888,1304345.7121750098,15841.264852710312,229178.52434099,0.0,13591.264852710312,3074.4444444444453,3919.898989898991,11306.28218276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2016,1525618.1448123204,1529538.0438022194,1316295.7121750098,19856.091703679595,229178.52434099,0.0,17606.091703679595,3074.4444444444453,3919.898989898991,14715.560139952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2017,1530000.034158995,1533919.933148894,1325395.7121750098,24574.20235700508,229178.52434099,0.0,19324.20235700508,630.0,3919.898989898991,14715.560139952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2018,1512492.3751446032,1519850.6617146237,1328009.045508343,45171.37634908962,229654.70598534946,0.0,32421.37634908962,4068.3875801215363,7358.2865700205275,14715.560139952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2019,1511730.62221841,1528111.1553931306,1346259.045508343,65533.12927528281,231004.70598534946,0.0,49563.1292752828,13090.634184821643,16380.533174720635,14715.560139952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2020,1476014.95859847,1504190.9581064673,1377923.51287477,132913.2602616498,231004.70598534946,0.0,72803.26026164978,24886.100518098134,28175.999507997127,14715.560139952073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global,0.0
2021,1452806.8513900556,1485072.863554041,1410969.6675332368,195396.86940886595,237234.0532656842,0.0,81731.86940886594,28976.11317408623,32266.012163985222,53050.45505082536,6113.954759660697,1113.9547596606974,0.0,0.0,0.0,6113.954759660697,1113.9547596606974,global,0.0
2022,1430164.2943967858,1471229.4836349387,1470150.567768377,282920.32663727616,242934.0532656842,0.0,108270.32663727616,37775.29024825385,41065.18923815284,53050.45505082536,19263.954759660697,4463.954759660697,0.0,0.0,0.0,19263.954759660697,4463.954759660697,global,0.0
2023,1376203.7635017922,1434935.3786148992,1533527.3233833418,392788.6762628554,252284.0532656842,16818.93688437895,151606.83212664595,56287.17066866266,58731.61511310711,53050.45505082536,64391.63287124869,29200.9285323574,0.0,0.0,0.0,64391.63287124869,29200.9285323574,global,0.0
2024,1359799.0321090417,1434116.2994048034,1583303.645271754,442150.792659639,252284.0532656842,33637.8737687579,176544.11042965902,71872.82285131722,74317.26729576167,53050.45505082536,114167.9547596607,45200.9285323574,0.0,0.0,0.0,114167.9547596607,45200.9285323574,global,0.0
2025,1323348.4183120793,1427109.483291903,1643175.7881288968,521654.6124293652,252284.0532656842,50456.81065313685,221873.57070181528,101316.62053537922,103761.06497982367,53050.45505082536,174040.09761680354,91715.9285323574,0.0,0.0,0.0,174040.09761680354,91715.9285323574,global,22189.417063369252
2026,1295418.8128647804,1422496.7024099405,1678254.7881288968,567844.2809922851,252284.0532656842,67275.7475375158,257913.2392647351,124633.44510071572,127077.88954516017,22809.38047663929,209119.09761680354,115344.9285323574,0.0,0.0,0.0,209119.09761680354,115344.9285323574,global,44378.834126738504
2027,1224164.8576924019,1384305.1536002948,1681004.7881288968,625029.2992802849,252284.0532656842,84094.68442189475,312273.25755273487,154789.3527897086,160140.29590789307,22809.38047663929,211869.09761680354,118094.9285323574,0.0,0.0,0.0,211869.09761680354,118094.9285323574,global,66568.25119010775
2028,1177478.8572092038,1379475.8611259982,1712054.7881288968,685946.3628791041,252284.0532656842,100913.62130627371,370490.32115155406,193040.38256384962,201997.00391679432,22809.38047663929,242919.09761680354,149144.9285323574,0.0,0.0,0.0,242919.09761680354,149144.9285323574,global,88757.66825347701
2029,1133631.7084538753,1357159.1817302876,1719054.7881288968,719974.5747500536,252284.0532656842,117732.55819065266,404518.53302250354,209282.56372485455,223527.47327641246,22809.38047663929,249919.09761680354,156144.9285323574,0.0,0.0,0.0,249919.09761680354,156144.9285323574,global,110947.08531684626
2030,1101218.082668016,1336117.5914758448,1757222.6905120932,773737.1660347305,252284.0532656842,134551.49507503162,422675.85806878685,215977.64612626715,234899.50880782877,22809.38047663929,288087.0,194312.83091555384,0.0,0.0,0.0,288087.0,194312.83091555384,global,110947.08531684626
2031,1026775.4871473745,1293653.4669304076,1757222.6905120932,831360.824670993,252284.0532656842,151370.43195941058,480299.5167050494,238042.7975680472,266877.979783033,2300.0,288087.0,194312.83091555384,0.0,0.0,0.0,288087.0,194312.83091555384,global,110947.08531684626
2032,971634.6208069947,1261870.2980231107,1761722.6905120932,874182.7541269939,252284.0532656842,168189.36884378953,521521.44616105023,250742.7975680472,288635.6772161159,2300.0,292587.0,197212.83091555384,1600.0,0.0,0.0,292587.0,198812.83091555384,global,110947.08531684626
2033,900067.5730358469,1223246.3178870955,1761722.6905120932,928930.8650137627,252284.0532656842,185008.3057281685,569544.9827996736,259717.74332125895,321214.2830227849,2300.0,292587.0,196848.36908709013,1964.4618284637136,0.0,0.0,292587.0,198812.83091555384,global,110947.08531684626
2034,810657.8387666809,1185037.5906361449,1761722.6905120932,1001521.6623985498,252284.0532656842,201827.24261254744,628985.7801844607,274757.85638062726,359265.29004100023,2300.0,292587.0,184598.36908709013,15114.461828463714,0.0,0.0,292587.0,198812.83091555384,global,110947.08531684626
2035,713856.1754142203,1144887.3650418164,1768722.6905120932,1088504.3888666315,252284.0532656842,218646.1794969264,709726.1136256009,293669.7845580981,412966.72779913235,2300.0,299587.0,188648.36908709013,18064.461828463714,0.0,0.0,299587.0,205812.83091555384,global,110947.08531684626
2036,589533.072541102,1106621.5634875211,1781222.6905120932,1208508.554855371,252284.0532656842,235465.11638130536,810963.2606013044,329501.46164423646,480257.01010491943,2500.0,312087.0,186406.35007405412,36831.480841499724,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2037,410908.0220825518,1052854.7578848372,1781222.6905120932,1370314.668429542,252284.0532656842,252284.0532656843,958919.3741754756,382191.8113557994,591265.2549607856,2500.0,312087.0,181456.35007405412,50681.480841499724,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2038,273299.2643580204,1023839.772175998,1781222.6905120932,1507923.4261540736,252284.0532656842,252284.0532656843,1062397.4275611157,391166.8647712121,665728.3226375865,2500.0,312087.0,170416.35007405412,84812.18518039101,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2039,201774.55912895786,1008166.9853868636,1781222.6905120932,1579448.1313831361,252284.0532656842,252284.0532656843,1082595.8109017662,375581.21258855757,670253.9191891027,2500.0,312087.0,153866.35007405412,136138.507068803,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2040,145212.41627181502,1008166.9853868636,1781222.6905120932,1636010.274240279,252284.0532656842,252284.0532656843,1085195.8109017662,347837.4149044956,672853.9191891027,2500.0,312087.0,115641.35007405412,190100.64992594585,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2041,116958.41627181502,1008166.9853868636,1781222.6905120932,1664264.274240279,252284.0532656842,252284.0532656843,1085195.8109017662,327697.59033915907,672853.9191891027,0.0,312087.0,93112.35007405412,218354.64992594585,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2042,115808.41627181502,1005260.4867131235,1781222.6905120932,1665414.274240279,252284.0532656842,252284.0532656843,1085195.8109017662,297541.6826501662,669947.4205153626,0.0,312087.0,91962.35007405412,219504.64992594585,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2043,91808.41627181502,1001654.8084783633,1781222.6905120932,1689414.274240279,252284.0532656842,252284.0532656843,1085195.8109017662,258660.65287602518,666341.7422806025,0.0,312087.0,67962.35007405412,243504.64992594585,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2044,84808.41627181502,996366.52027975,1781222.6905120932,1696414.274240279,252284.0532656842,252284.0532656843,1085195.8109017662,240718.47171502025,661053.4540819892,0.0,312087.0,60962.35007405412,250504.64992594585,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2045,24000.00000000006,968463.5009519856,1781222.6905120932,1757222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,234023.38931360765,656376.5009519855,0.0,312087.0,24000.0,288087.0,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2046,24000.00000000006,958550.1814185614,1781222.6905120932,1757222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,211958.23787182762,646463.1814185613,0.0,312087.0,24000.0,288087.0,0.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2047,19500.00000000006,947048.039541034,1781222.6905120932,1761722.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,199258.23787182762,634961.039541034,0.0,312087.0,19500.0,292587.0,1600.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2048,19500.00000000006,923444.3794875769,1781222.6905120932,1761722.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,186844.9045384943,611357.3794875768,0.0,312087.0,19500.0,292587.0,1964.4618284637136,0.0,312087.0,218312.83091555384,global,110947.08531684626
2049,19500.00000000006,900433.4855287296,1781222.6905120932,1761722.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,162782.54487442592,588346.4855287296,0.0,312087.0,19500.0,292587.0,16264.461828463714,0.0,312087.0,218312.83091555384,global,110947.08531684626
2050,12500.000000000058,865643.9759480685,1781222.6905120932,1768722.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,132075.15036367852,553556.9759480685,0.0,312087.0,12500.0,299587.0,19214.461828463714,0.0,312087.0,218312.83091555384,global,110947.08531684626
2051,5.820766091346741e-11,834185.3707284199,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,88976.46062155208,522098.37072841974,0.0,312087.0,0.0,312087.0,38506.480841499724,0.0,312087.0,218312.83091555384,global,110947.08531684626
2052,5.820766091346741e-11,775867.4755841165,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,27486.933835821575,463780.47558411653,0.0,312087.0,0.0,312087.0,51006.480841499724,0.0,312087.0,218312.83091555384,global,110947.08531684626
2053,5.820766091346741e-11,710379.4613227283,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,398292.4613227283,0.0,312087.0,0.0,312087.0,84287.18518039101,0.0,312087.0,218312.83091555384,global,110947.08531684626
2054,5.820766091346741e-11,690268.2125885575,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,378181.2125885575,0.0,312087.0,0.0,312087.0,137877.507068803,0.0,312087.0,218312.83091555384,global,110947.08531684626
2055,5.820766091346741e-11,659924.4149044956,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,347837.4149044955,0.0,312087.0,0.0,312087.0,191314.64992594585,0.0,312087.0,218312.83091555384,global,110947.08531684626
2056,5.820766091346741e-11,639784.5903391591,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,327697.590339159,0.0,312087.0,0.0,312087.0,218354.64992594585,0.0,312087.0,218312.83091555384,global,110947.08531684626
2057,5.820766091346741e-11,609628.6826501662,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,297541.68265016616,0.0,312087.0,0.0,312087.0,219504.64992594585,0.0,312087.0,218312.83091555384,global,110947.08531684626
2058,5.820766091346741e-11,570747.6528760252,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,258660.65287602512,0.0,312087.0,0.0,312087.0,243504.64992594585,0.0,312087.0,218312.83091555384,global,110947.08531684626
2059,5.820766091346741e-11,552805.4717150202,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,240718.4717150202,0.0,312087.0,0.0,312087.0,250504.64992594585,0.0,312087.0,218312.83091555384,global,110947.08531684626
2060,5.820766091346741e-11,546110.3893136077,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,234023.3893136076,0.0,312087.0,0.0,312087.0,288087.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2061,5.820766091346741e-11,524045.2378718276,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,211958.23787182756,0.0,312087.0,0.0,312087.0,288087.0,0.0,312087.0,218312.83091555384,global,110947.08531684626
2062,5.820766091346741e-11,509745.2378718276,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,199258.23787182756,0.0,312087.0,0.0,312087.0,292587.0,1600.0,310487.0,216712.83091555384,global,110947.08531684626
2063,5.820766091346741e-11,496967.4427100306,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,186844.90453849424,0.0,312087.0,0.0,312087.0,292587.0,1964.4618284637136,310122.5381715363,216348.36908709013,global,110947.08531684626
2064,5.820766091346741e-11,458605.0830459622,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,162782.54487442586,0.0,312087.0,0.0,312087.0,292587.0,16264.461828463714,295822.5381715363,204098.36908709013,global,110947.08531684626
2065,5.820766091346741e-11,424947.6885352148,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,132075.15036367846,0.0,312087.0,0.0,312087.0,299587.0,19214.461828463714,292872.5381715363,201148.36908709013,global,110947.08531684626
2066,5.820766091346741e-11,362556.9797800524,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,88976.46062155208,0.0,312087.0,0.0,312087.0,312087.0,38506.480841499724,273580.51915850025,185881.35007405412,global,110947.08531684626
2067,5.820766091346741e-11,288567.45299432194,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,27486.933835821575,0.0,312087.0,0.0,312087.0,312087.0,51006.480841499724,261080.51915850028,182281.35007405412,global,110947.08531684626
2068,5.820766091346741e-11,227799.81481960905,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,84287.18518039101,227799.814819609,170941.35007405412,global,110947.08531684626
2069,5.820766091346741e-11,174209.49293119705,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,137877.507068803,174209.492931197,152127.35007405412,global,110947.08531684626
2070,5.820766091346741e-11,120772.35007405421,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,191314.64992594585,120772.35007405415,114427.35007405412,global,88757.66825347701
2071,5.820766091346741e-11,93732.35007405421,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,218354.64992594585,93732.35007405415,93112.35007405412,global,66568.25119010775
2072,5.820766091346741e-11,92582.35007405421,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,219504.64992594585,92582.35007405415,91962.35007405412,global,44378.83412673851
2073,5.820766091346741e-11,68582.35007405421,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,243504.64992594585,68582.35007405415,67962.35007405412,global,22189.417063369256
2074,5.820766091346741e-11,61582.35007405421,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,250504.64992594585,61582.35007405415,60962.35007405412,global,0.0
2075,5.820766091346741e-11,24000.00000000006,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,288087.0,24000.0,24000.0,global,0.0
2076,5.820766091346741e-11,24000.00000000006,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,288087.0,24000.0,24000.0,global,0.0
2077,5.820766091346741e-11,19500.00000000006,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,292587.0,19500.0,19500.0,global,0.0
2078,5.820766091346741e-11,19500.00000000006,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,292587.0,19500.0,19500.0,global,0.0
2079,5.820766091346741e-11,19500.00000000006,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,292587.0,19500.0,19500.0,global,0.0
2080,5.820766091346741e-11,12500.000000000058,1781222.6905120932,1781222.6905120942,252284.0532656842,252284.0532656843,1087867.6859017662,0.0,0.0,0.0,312087.0,0.0,312087.0,312087.0,299587.0,12500.0,12500.0,global,0.0
